Set: complex, Dataset: 1, Algorithm: ahc, m: 5478, n:4, k:14, out:0.00, Gstr: -1.56, Grex: -0.95, Gmin: -2.48, Sil: 0.08, C-H: 0.02, D-B: 0.86, time: 66.99
Set: complex, Dataset: 6, Algorithm: ahc+CR, m: 5680, n:13, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1354.06
Set: complex, Dataset: 7, Algorithm: ahc, m: 5563, n:9, k:14, out:0.00, Gstr: -0.61, Grex: -0.06, Gmin: -1.09, Sil: 0.11, C-H: 0.00, D-B: 0.69, time: 126.82
Set: complex, Dataset: 7, Algorithm: ahc+CR, m: 5563, n:9, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1132.43
Set: complex, Dataset: 8, Algorithm: ahc, m: 5510, n:20, k:14, out:0.00, Gstr: -1.06, Grex: -0.64, Gmin: -1.26, Sil: 0.10, C-H: 0.00, D-B: 0.93, time: 279.02
Set: complex, Dataset: 8, Algorithm: ahc+CR, m: 5510, n:20, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 2760.62
Set: complex, Dataset: 9, Algorithm: ahc, m: 5638, n:3, k:14, out:0.00, Gstr: -0.91, Grex: -0.35, Gmin: -6.01, Sil: -0.20, C-H: 0.01, D-B: 0.83, time: 44.51
Set: complex, Dataset: 9, Algorithm: ahc+CR, m: 5638, n:3, k:0, out:0.01, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 477.34
Set: complex, Dataset: 10, Algorithm: ahc, m: 5701, n:17, k:14, out:0.00, Gstr: -0.15, Grex: 0.46, Gmin: -1.01, Sil: 0.13, C-H: 0.00, D-B: 0.64, time: 252.17
Set: complex, Dataset: 10, Algorithm: ahc+CR, m: 5701, n:17, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 2752.95
Set: complex, Dataset: 11, Algorithm: ahc, m: 5329, n:10, k:14, out:0.00, Gstr: -0.20, Grex: 0.43, Gmin: -0.49, Sil: 0.31, C-H: 0.01, D-B: 0.47, time: 130.68
Set: complex, Dataset: 11, Algorithm: ahc+CR, m: 5329, n:10, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 515.82
Set: complex, Dataset: 12, Algorithm: ahc, m: 5592, n:6, k:14, out:0.00, Gstr: -0.39, Grex: 1.03, Gmin: -0.67, Sil: 0.30, C-H: 0.01, D-B: 0.41, time: 84.77
Set: complex, Dataset: 12, Algorithm: ahc+CR, m: 5592, n:6, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 514.23
Set: complex, Dataset: 13, Algorithm: ahc, m: 5695, n:15, k:14, out:0.00, Gstr: -0.29, Grex: 0.14, Gmin: -1.71, Sil: 0.03, C-H: 0.00, D-B: 0.62, time: 223.27
Set: complex, Dataset: 13, Algorithm: ahc+CR, m: 5695, n:15, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1770.29
Set: complex, Dataset: 14, Algorithm: ahc, m: 5438, n:16, k:14, out:0.00, Gstr: -0.19, Grex: 0.45, Gmin: -0.39, Sil: 0.40, C-H: 0.01, D-B: 0.53, time: 211.73
Set: complex, Dataset: 14, Algorithm: ahc+CR, m: 5438, n:16, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1043.95
Set: complex, Dataset: 15, Algorithm: ahc, m: 5656, n:8, k:14, out:0.00, Gstr: -1.08, Grex: -0.59, Gmin: -2.60, Sil: 0.04, C-H: 0.00, D-B: 0.80, time: 115.31
Set: complex, Dataset: 15, Algorithm: ahc+CR, m: 5656, n:8, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1835.07
Set: complex, Dataset: 16, Algorithm: ahc, m: 5272, n:19, k:14, out:0.00, Gstr: -0.66, Grex: 0.04, Gmin: -0.66, Sil: 0.36, C-H: 0.01, D-B: 0.57, time: 238.10
Set: complex, Dataset: 16, Algorithm: ahc+CR, m: 5272, n:19, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1188.51
Set: complex, Dataset: 17, Algorithm: ahc, m: 5442, n:12, k:14, out:0.00, Gstr: -0.39, Grex: -0.03, Gmin: -2.25, Sil: 0.02, C-H: 0.00, D-B: 0.72, time: 160.25
Set: complex, Dataset: 17, Algorithm: ahc+CR, m: 5442, n:12, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 2215.61
Set: complex, Dataset: 18, Algorithm: ahc, m: 5688, n:22, k:14, out:0.00, Gstr: -0.55, Grex: -0.30, Gmin: -1.29, Sil: 0.09, C-H: 0.00, D-B: 0.69, time: 320.74
Set: complex, Dataset: 18, Algorithm: ahc+CR, m: 5688, n:22, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1840.73
Set: complex, Dataset: 19, Algorithm: ahc, m: 5747, n:10, k:14, out:0.00, Gstr: -0.94, Grex: -0.51, Gmin: -1.01, Sil: 0.06, C-H: 0.01, D-B: 0.86, time: 147.98
Set: complex, Dataset: 19, Algorithm: ahc+CR, m: 5747, n:10, k:0, out:0.01, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1574.93
Set: complex, Dataset: 20, Algorithm: ahc, m: 5486, n:21, k:14, out:0.00, Gstr: -0.56, Grex: -0.24, Gmin: -0.97, Sil: 0.31, C-H: 0.01, D-B: 0.52, time: 277.58
Set: complex, Dataset: 20, Algorithm: ahc+CR, m: 5486, n:21, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 1387.80
