Set: close, Dataset: 1, Algorithm: mkm, m: 5000, n:4, k:14, out:0.00, Gstr: 1.38, Grex: 3.94, Gmin: -1.49, Sil: 0.61, C-H: 31.36, D-B: 0.75, time: 5.73
Set: close, Dataset: 7, Algorithm: mkm+CR, m: 5000, n:23, k:5, out:0.15, Gstr: 4.13, Grex: 6.13, Gmin: 3.70, Sil: 0.83, C-H: 27.81, D-B: 0.25, time: 161.75
Set: close, Dataset: 8, Algorithm: mkm, m: 5000, n:17, k:14, out:0.00, Gstr: 5.06, Grex: 7.72, Gmin: -1.67, Sil: 0.79, C-H: 29.05, D-B: 0.67, time: 19.51
Set: close, Dataset: 8, Algorithm: mkm+CR, m: 5000, n:17, k:11, out:0.05, Gstr: 5.80, Grex: 8.73, Gmin: 4.07, Sil: 0.87, C-H: 34.72, D-B: 0.19, time: 55.66
Set: close, Dataset: 9, Algorithm: mkm, m: 5000, n:20, k:14, out:0.00, Gstr: 4.83, Grex: 7.18, Gmin: -1.66, Sil: 0.78, C-H: 27.67, D-B: 0.71, time: 23.33
Set: close, Dataset: 9, Algorithm: mkm+CR, m: 5000, n:20, k:8, out:0.13, Gstr: 6.09, Grex: 8.85, Gmin: 4.98, Sil: 0.87, C-H: 41.56, D-B: 0.19, time: 77.29
Set: close, Dataset: 10, Algorithm: mkm, m: 5000, n:20, k:14, out:0.00, Gstr: 1.77, Grex: 3.06, Gmin: -1.67, Sil: 0.47, C-H: 18.56, D-B: 2.40, time: 21.47
Set: close, Dataset: 10, Algorithm: mkm+CR, m: 5000, n:20, k:8, out:0.07, Gstr: 5.03, Grex: 7.40, Gmin: 4.22, Sil: 0.85, C-H: 29.70, D-B: 0.21, time: 82.89
Set: close, Dataset: 11, Algorithm: mkm, m: 5000, n:22, k:14, out:0.00, Gstr: 5.58, Grex: 7.97, Gmin: -1.67, Sil: 0.77, C-H: 29.42, D-B: 0.77, time: 25.41
Set: close, Dataset: 11, Algorithm: mkm+CR, m: 5000, n:22, k:7, out:0.17, Gstr: 6.69, Grex: 9.41, Gmin: 5.99, Sil: 0.88, C-H: 45.25, D-B: 0.17, time: 78.40
Set: close, Dataset: 12, Algorithm: mkm, m: 5000, n:23, k:14, out:0.00, Gstr: 1.20, Grex: 2.23, Gmin: -1.67, Sil: 0.45, C-H: 15.07, D-B: 2.29, time: 25.09
Set: close, Dataset: 12, Algorithm: mkm+CR, m: 5000, n:23, k:6, out:0.17, Gstr: 4.18, Grex: 6.17, Gmin: 3.33, Sil: 0.83, C-H: 25.21, D-B: 0.25, time: 93.71
Set: close, Dataset: 13, Algorithm: mkm, m: 5000, n:20, k:14, out:0.00, Gstr: 4.81, Grex: 7.27, Gmin: -1.60, Sil: 0.76, C-H: 25.10, D-B: 0.63, time: 19.37
Set: close, Dataset: 13, Algorithm: mkm+CR, m: 5000, n:20, k:10, out:0.10, Gstr: 5.90, Grex: 8.73, Gmin: 5.19, Sil: 0.87, C-H: 30.59, D-B: 0.19, time: 60.56
Set: close, Dataset: 14, Algorithm: mkm, m: 5000, n:15, k:14, out:0.00, Gstr: 2.00, Grex: 3.52, Gmin: -1.67, Sil: 0.54, C-H: 20.01, D-B: 2.04, time: 17.81
Set: close, Dataset: 14, Algorithm: mkm+CR, m: 5000, n:15, k:8, out:0.03, Gstr: 4.41, Grex: 6.82, Gmin: 3.64, Sil: 0.84, C-H: 32.33, D-B: 0.23, time: 68.66
Set: close, Dataset: 15, Algorithm: mkm, m: 5000, n:11, k:14, out:0.00, Gstr: 1.54, Grex: 3.21, Gmin: -1.66, Sil: 0.55, C-H: 19.22, D-B: 1.47, time: 11.95
Set: close, Dataset: 15, Algorithm: mkm+CR, m: 5000, n:11, k:7, out:0.11, Gstr: 4.12, Grex: 6.98, Gmin: 3.57, Sil: 0.84, C-H: 33.03, D-B: 0.23, time: 44.27
Set: close, Dataset: 16, Algorithm: mkm, m: 5000, n:4, k:14, out:0.00, Gstr: -0.10, Grex: 1.39, Gmin: -1.46, Sil: 0.48, C-H: 15.81, D-B: 1.01, time: 4.89
Set: close, Dataset: 16, Algorithm: mkm+CR, m: 5000, n:4, k:6, out:0.14, Gstr: 1.87, Grex: 4.84, Gmin: -0.01, Sil: 0.76, C-H: 25.55, D-B: 0.36, time: 23.22
Set: close, Dataset: 17, Algorithm: mkm, m: 5000, n:3, k:14, out:0.00, Gstr: 1.38, Grex: 4.40, Gmin: -1.47, Sil: 0.65, C-H: 35.67, D-B: 0.67, time: 3.68
Set: close, Dataset: 17, Algorithm: mkm+CR, m: 5000, n:3, k:11, out:0.10, Gstr: 1.40, Grex: 4.54, Gmin: -1.47, Sil: 0.65, C-H: 45.22, D-B: 0.72, time: 14.03
Set: close, Dataset: 18, Algorithm: mkm, m: 5000, n:23, k:14, out:0.00, Gstr: 4.20, Grex: 6.29, Gmin: -1.62, Sil: 0.65, C-H: 29.44, D-B: 1.02, time: 28.73
Set: close, Dataset: 18, Algorithm: mkm+CR, m: 5000, n:23, k:8, out:0.10, Gstr: 6.39, Grex: 9.25, Gmin: 5.09, Sil: 0.87, C-H: 43.92, D-B: 0.18, time: 91.03
Set: close, Dataset: 19, Algorithm: mkm, m: 5000, n:3, k:14, out:0.00, Gstr: 0.40, Grex: 2.60, Gmin: -1.53, Sil: 0.56, C-H: 16.03, D-B: 0.91, time: 4.18
Set: close, Dataset: 19, Algorithm: mkm+CR, m: 5000, n:3, k:6, out:0.14, Gstr: 1.18, Grex: 4.05, Gmin: 0.24, Sil: 0.75, C-H: 24.49, D-B: 0.36, time: 13.49
Set: close, Dataset: 20, Algorithm: mkm, m: 5000, n:10, k:14, out:0.00, Gstr: 1.45, Grex: 3.19, Gmin: -1.64, Sil: 0.51, C-H: 18.27, D-B: 1.35, time: 11.21
Set: close, Dataset: 20, Algorithm: mkm+CR, m: 5000, n:10, k:7, out:0.09, Gstr: 3.10, Grex: 5.66, Gmin: 2.20, Sil: 0.81, C-H: 30.79, D-B: 0.26, time: 46.74
