Set: dens-diff, Dataset: 1, Algorithm: ahc, m: 5000, n:5, k:14, out:0.00, Gstr: -0.59, Grex: -0.08, Gmin: -2.55, Sil: 0.19, C-H: 0.26, D-B: 0.86, time: 39.99
Set: dens-diff, Dataset: 16, Algorithm: ahc, m: 5000, n:4, k:14, out:0.00, Gstr: 2.82, Grex: 8.99, Gmin: -1.53, Sil: 0.82, C-H: 34.53, D-B: 0.53, time: 8.20
Set: dens-diff, Dataset: 16, Algorithm: ahc+CR, m: 5000, n:4, k:6, out:0.00, Gstr: 2.94, Grex: 9.30, Gmin: 0.82, Sil: 0.85, C-H: 78.44, D-B: 0.23, time: 24.93
Set: dens-diff, Dataset: 17, Algorithm: ahc, m: 5000, n:11, k:14, out:0.00, Gstr: 0.15, Grex: 1.16, Gmin: 0.14, Sil: 0.49, C-H: 0.01, D-B: 0.35, time: 129.44
Set: dens-diff, Dataset: 17, Algorithm: ahc+CR, m: 5000, n:11, k:0, out:0.00, Gstr: nan, Grex: nan, Gmin: nan, Sil: nan, C-H: nan, D-B: nan, time: 388.06
Set: dens-diff, Dataset: 18, Algorithm: ahc, m: 5000, n:17, k:14, out:0.00, Gstr: -1.29, Grex: 5.03, Gmin: -8.20, Sil: 0.76, C-H: 1.74, D-B: 0.54, time: 63.01
Set: dens-diff, Dataset: 18, Algorithm: ahc+CR, m: 5000, n:17, k:3, out:0.00, Gstr: -1.29, Grex: 5.20, Gmin: -8.20, Sil: 0.79, C-H: 8.01, D-B: 0.65, time: 699.57
Set: dens-diff, Dataset: 19, Algorithm: ahc, m: 5000, n:11, k:14, out:0.00, Gstr: 1.98, Grex: 8.20, Gmin: -1.35, Sil: 0.83, C-H: 11.37, D-B: 0.46, time: 25.02
Set: dens-diff, Dataset: 19, Algorithm: ahc+CR, m: 5000, n:11, k:4, out:0.06, Gstr: 3.98, Grex: 10.90, Gmin: 2.28, Sil: 0.88, C-H: 50.53, D-B: 0.23, time: 75.51
Set: dens-diff, Dataset: 20, Algorithm: ahc, m: 5000, n:13, k:14, out:0.00, Gstr: -0.43, Grex: 0.15, Gmin: -4.31, Sil: 0.22, C-H: 0.15, D-B: 0.60, time: 94.66
Set: dens-diff, Dataset: 20, Algorithm: ahc+CR, m: 5000, n:13, k:2, out:0.00, Gstr: -0.43, Grex: 0.15, Gmin: -4.31, Sil: 0.24, C-H: 1.04, D-B: 1.00, time: 464.91
