Set: dens-diff, Dataset: 1, Algorithm: mkm, m: 5000, n:5, k:14, out:0.00, Gstr: -1.21, Grex: -0.18, Gmin: -1.76, Sil: 0.36, C-H: 4.41, D-B: 1.52, time: 11.08
Set: dens-diff, Dataset: 13, Algorithm: mkm, m: 5000, n:7, k:14, out:0.00, Gstr: -1.46, Grex: -0.76, Gmin: -2.11, Sil: 0.21, C-H: 6.32, D-B: 1.59, time: 7.83
Set: dens-diff, Dataset: 13, Algorithm: mkm+CR, m: 5000, n:7, k:3, out:0.00, Gstr: -0.18, Grex: 2.45, Gmin: -1.30, Sil: 0.62, C-H: 17.06, D-B: 0.71, time: 474.33
Set: dens-diff, Dataset: 14, Algorithm: mkm, m: 5000, n:9, k:14, out:0.00, Gstr: -1.19, Grex: -0.41, Gmin: -1.77, Sil: 0.31, C-H: 1.60, D-B: 2.06, time: 14.02
Set: dens-diff, Dataset: 14, Algorithm: mkm+CR, m: 5000, n:9, k:2, out:0.00, Gstr: -0.03, Grex: 1.93, Gmin: -0.11, Sil: 0.57, C-H: 5.25, D-B: 0.45, time: 1711.75
Set: dens-diff, Dataset: 15, Algorithm: mkm, m: 5000, n:6, k:14, out:0.00, Gstr: -0.77, Grex: 0.62, Gmin: -1.68, Sil: 0.40, C-H: 3.40, D-B: 1.45, time: 7.88
Set: dens-diff, Dataset: 15, Algorithm: mkm+CR, m: 5000, n:6, k:2, out:0.00, Gstr: 0.08, Grex: 2.11, Gmin: 0.03, Sil: 0.58, C-H: 5.35, D-B: 0.47, time: 233.47
Set: dens-diff, Dataset: 16, Algorithm: mkm, m: 5000, n:4, k:14, out:0.00, Gstr: 0.13, Grex: 2.62, Gmin: -1.73, Sil: 0.45, C-H: 54.70, D-B: 1.21, time: 5.07
Set: dens-diff, Dataset: 16, Algorithm: mkm+CR, m: 5000, n:4, k:11, out:0.00, Gstr: 0.27, Grex: 3.04, Gmin: -1.64, Sil: 0.48, C-H: 63.33, D-B: 1.03, time: 35.44
Set: dens-diff, Dataset: 17, Algorithm: mkm, m: 5000, n:11, k:14, out:0.00, Gstr: -2.55, Grex: -1.72, Gmin: -6.07, Sil: 0.27, C-H: 0.67, D-B: 2.45, time: 20.92
Set: dens-diff, Dataset: 17, Algorithm: mkm+CR, m: 5000, n:11, k:1, out:0.00, Gstr: -0.63, Grex: 0.32, Gmin: -2.57, Sil: 0.21, C-H: 0.76, D-B: 0.93, time: 2191.11
Set: dens-diff, Dataset: 18, Algorithm: mkm, m: 5000, n:17, k:14, out:0.00, Gstr: -1.30, Grex: -0.54, Gmin: -2.07, Sil: 0.14, C-H: 7.17, D-B: 2.10, time: 19.45
Set: dens-diff, Dataset: 18, Algorithm: mkm+CR, m: 5000, n:17, k:7, out:0.09, Gstr: -0.23, Grex: 1.33, Gmin: -1.76, Sil: 0.22, C-H: 15.17, D-B: 1.97, time: 222.06
Set: dens-diff, Dataset: 19, Algorithm: mkm, m: 5000, n:11, k:14, out:0.00, Gstr: -0.18, Grex: 2.56, Gmin: -1.78, Sil: 0.50, C-H: 13.73, D-B: 1.99, time: 18.62
Set: dens-diff, Dataset: 19, Algorithm: mkm+CR, m: 5000, n:11, k:4, out:0.09, Gstr: 4.07, Grex: 11.12, Gmin: 2.30, Sil: 0.88, C-H: 49.25, D-B: 0.23, time: 85.45
Set: dens-diff, Dataset: 20, Algorithm: mkm, m: 5000, n:13, k:14, out:0.00, Gstr: -1.27, Grex: 0.66, Gmin: -2.44, Sil: 0.53, C-H: 2.72, D-B: 1.93, time: 19.08
Set: dens-diff, Dataset: 20, Algorithm: mkm+CR, m: 5000, n:13, k:6, out:0.21, Gstr: 2.07, Grex: 8.40, Gmin: -2.44, Sil: 0.65, C-H: 38.01, D-B: 1.18, time: 351.85
